YEAR,MONTH,DAY,MAGNITUDE,COUNTRY,LOCATION_NAME,LATITUDE,LONGITUDE,CATEGORY
1971,2,4,7.1,INDONESIA,"INDONESIA:  NATAL, SIBOLGA, TARUTUNG, PASAMAN",0.6,98.8,Earthquake
1971,5,2,7.1,USA,ALASKA:  ANDREANOF ISLANDS,51.4,-177.2,Earthquake
1971,9,5,7.1,RUSSIA,"RUSSIA:  SAKHALIN, MONERON ISLAND",46.5,141.2,Earthquake
1971,10,27,7.1,VANUATU,"VANUATU ISLANDS:  ESPIRITU SANTO, PORT VILA",-15.5,167.2,Earthquake
1972,8,17,7.1,SOLOMON SEA,W. SOLOMON SEA,-6,152.9,Earthquake
1973,6,24,7.1,RUSSIA,RUSSIA:  KURIL ISLANDS,43.3,146.4,Earthquake
1974,2,1,7.1,SOLOMON ISLANDS,SOLOMON ISLANDS,-7.4,155.6,Earthquake
1974,5,10,7.1,CHINA,"CHINA:  YUNNAN AND SICHUAN PROVINCES, CHAO-T'UNG",28.24,104.01,Earthquake
1974,8,18,7.1,CHILE,"CHILE:  LA UNION, VALDIVIA",-38.5,-73.4,Earthquake
1976,6,25,7.1,INDONESIA,INDONESIA:  NEW GUINEA:  IRIAN JAYA,-4.603,140.091,Earthquake
1976,10,29,7.1,INDONESIA,INDONESIA:  NEW GUINEA:  IRIAN JAYA:  JAYAWIJAYA,-4.517,139.918,Earthquake
1978,3,24,7.1,KAZAKHSTAN,KAZAKHSTAN:  ALMA-ATA,42.839,78.606,Earthquake
1981,7,28,7.1,IRAN,"IRAN:  SE, KERMAN",30.013,57.794,Earthquake
1982,1,11,7.1,PHILIPPINES,"PHILIPPINES:  VIRAC, CATANDUANES",13.752,124.358,Earthquake
1985,5,10,7.1,PAPUA NEW GUINEA,"PAPUA NEW GUINEA:  NEW BRITAIN:  BIALLA, PIONA",-5.599,151.045,Earthquake
1985,11,17,7.1,INDONESIA,INDONESIA:  NEW GUINEA:  IRIAN JAYA:  MANOKWARI,-1.639,134.911,Earthquake
1986,6,24,7.1,PAPUA NEW GUINEA,PAPUA NEW GUINEA,-4.448,143.943,Earthquake
1990,5,20,7.1,SUDAN,"SUDAN:  JUBA, MAYA;  UGANDA: NAKURA",5.121,32.145,Earthquake
1990,6,14,7.1,PHILIPPINES,"PHILIPPINES:  CULASI, PANAY",11.76,121.899,Earthquake
1991,1,5,7.1,MYANMAR (BURMA),"MYANMAR (BURMA):  THABEIKKYIN, MANDALAY",23.613,95.901,Earthquake
1992,4,25,7.1,USA,"CALIFORNIA: HUMBOLDT COUNTY: FERNDALE, PETROLIA",40.368,-124.316,Earthquake
1994,11,14,7.1,PHILIPPINES,PHILIPPINES:  MINDORO,13.525,121.067,Earthquake
1995,2,5,7.1,NEW ZEALAND,NEW ZEALAND:  NORTH ISLAND; S ISLAND:  CHRISTCHURCH,-37.759,178.752,Earthquake
1995,5,27,7.1,RUSSIA,"RUSSIA:  SAKHALIN IS:  NEFTEGORSK, OKHA, MOSKALVO",52.629,142.827,Earthquake
1995,10,18,7.1,JAPAN,JAPAN:  RYUKU IS.,27.929,130.175,Earthquake
1996,2,25,7.1,MEXICO,MEXICO:  OFF COAST OF GUERRERO,15.978,-98.07,Earthquake
1997,2,27,7.1,PAKISTAN,"PAKISTAN:  HARNAI-SIBI, QUETTA",29.976,68.208,Earthquake
1997,10,15,7.1,CHILE,"CHILE:  PUEBLO NUEVO, COQUIMBO, LA CHIMBA",-30.933,-71.22,Earthquake
2002,3,31,7.1,TAIWAN,TAIWAN:  TAIPEI,24.279,122.179,Earthquake
2002,4,26,7.1,USA TERRITORY,GUAM,13.088,144.619,Earthquake
2004,11,22,7.1,NEW ZEALAND,"NEW ZEALAND:  INVERCARGILL, SOUTHLAND, OTAGO",-46.676,164.721,Earthquake
2004,11,26,7.1,INDONESIA,INDONESIA:  NABIRE,-3.609,135.404,Earthquake
2007,3,25,7.1,VANUATU,VANUATU ISLANDS,-20.617,169.357,Earthquake
2010,1,3,7.1,SOLOMON ISLANDS,SOLOMON ISLANDS,-8.799,157.346,Earthquake
2010,8,12,7.1,ECUADOR,"ECUADOR:  MANTA, GUAYAQUIL, LOJA",-1.266,-77.306,Earthquake
2011,4,7,7.1,JAPAN,JAPAN: NEAR E COAST HONSHU,38.276,141.588,Earthquake
2011,8,20,7.1,VANUATU,VANUATU ISLANDS,-18.365,168.143,Earthquake
2011,10,23,7.1,TURKEY,"TURKEY:  ERCIS, VAN",38.722,43.513,Earthquake
2013,10,15,7.1,PHILIPPINES,"PHILIPPINES:  BOHOL, CEBU",9.866,124.011,Earthquake
2013,10,25,7.1,JAPAN,JAPAN:  HONSHU:  E COAST,37.149,144.679,Earthquake
2014,10,9,7.1,CHILE,CHILE: EASTER ISLAND REGION,-32.115,-110.779,Earthquake
2014,11,15,7.1,INDONESIA,INDONESIA:  N. MOLUCCAS ISLANDS,1.928,126.547,Earthquake
2016,1,24,7.1,USA,ALASKA:  KENAI,59.658,-153.452,Earthquake
1901,3,31,7.2,BULGARIA,BULGARIA:  BALCHIK,43.4,28.5,Earthquake
1904,12,20,7.2,PANAMA,PANAMA:  BOCAS DEL TORO,9.2,-82.8,Earthquake
1906,10,2,7.2,PAPUA NEW GUINEA,PAPUA NEW GUINEA:  BISMARCK SEA,-4,149,Earthquake
1909,10,20,7.2,PAKISTAN,PAKISTAN,30,68,Earthquake
1910,11,10,7.2,VANUATU,VANUATU ISLANDS:  ESPIRITU SANTO,-14,166.5,Earthquake
1914,2,26,7.2,PERU,PERU:  AREQUIPA,-17,-72,Earthquake
1914,3,15,7.2,JAPAN,JAPAN:  SENHOKU,39.2,139.8,Earthquake
1916,4,24,7.2,DOMINICAN REPUBLIC,DOMINICAN REPUBLIC:  SANTO DOMINIGO,18.5,-68,Earthquake
1922,1,6,7.2,PERU,PERU,-16.5,-73,Earthquake
1923,1,22,7.2,USA,CALIFORNIA:  NORTHERN,40.8,-124.5,Earthquake
1923,3,2,7.2,PHILIPPINES,PHILIPPINES:  MINDANAO IsLAND,6.5,124,Earthquake
1923,4,13,7.2,RUSSIA,RUSSIA:  NEAR KAMCHATKA,56.5,162.5,Earthquake
1923,11,2,7.2,PAPUA NEW GUINEA,PAPUA NEW GUINEA:   BISMARCK ARCHIPELAGO,-4.5,151.5,Earthquake
1923,11,4,7.2,PAPUA NEW GUINEA,PAPUA NEW GUINEA:   BISMARCK ARCHIPELAGO,-5,152,Earthquake
1929,6,13,7.2,PHILIPPINES,"PHILIPPINES:  MINDANAO:  HINATUAN,EBRO",8.5,127,Earthquake
1932,12,20,7.2,USA,NEVADA:  CEDAR MOUNTAIN,38.7,-117.8,Earthquake
1936,6,30,7.2,RUSSIA,RUSSIA:  KOMANDORSKY ISLAND,55,165,Earthquake
1936,8,22,7.2,TAIWAN,TAIWAN,22.3,120.8,Earthquake
1937,9,27,7.2,INDONESIA,"INDONESIA:  JAVA:  JOGYAKARTA:  KLUMPIT,PRAMBANAN",-9.4,110.2,Earthquake
1937,11,14,7.2,AFGHANISTAN,AFGHANISTAN:  HINDU KUSH,36.5,70.5,Earthquake
1940,5,19,7.2,USA,CALIFORNIA; MEXICO,32.733,-115.5,Earthquake
